compound,RT,mz,overlap
cocaine,6.63,303,6.51
C28,8.15,57,
tropacocaine,5.83,124,
norcocaine,6.51,168;68;136,6.63
N-benzoylnormethylecgonine,6.87,184;136;168,6.63
cis-cinnamoylcocaine,7.17,"(82, 182, 83, 96, 94)",
trans-cinnamoylcocaine,7.54,"(82, 182, 83, 96, 94)",7.72
lidocaine,5.56,86;58;87;30;72;120;56,
procaine,6.06,86;99;120;164;92;87;58,
tetracaine,6.67,176,
benzocaine,4.33,120;165;92;65;137;121;93,
caffeine,5.39,194;109;55;67;82;42;193,
acetylsalicylic acid,0,120;138;43;92;121;63;65,
phenacetin,4.86,108;109;179;137;43;81;80,
ibuprofen,4.48,161;163;91;119;117;107;206,
levamisole,5.94,148;204;73;101;203;121;77,
hydroxyzine,0,201;165;203;166;299;202;45,
diltiazem,0,58;71;72;121;150;136;43,
ketamine,5.52,,
