Starting sequence Mon Feb 01 14:30:51 2021
_seqline	_dataname$	_alsbottle	_alsbottle2	_methpath$	_methfile$	_datapath$	_datafile$	_runtype$	_levelid$	_multiplr	_miscinfo$	_sampamt	_injvol	_injvol2	_expbarcode$	_expbarcode2$	_pretreatpath$	_pretreatfile$	_traypicked	_balanceoverride	_damethodpathname$	_damethodfilename$	_dareportpath$	_sampleinformation$	_istdamt	_keyword$	_keywordstring$	_matrixspikegroup$	_samplegroup$	_samplingdatetime	_samplingtime	_totalsampleamount	
1	BLANK-06_210004	6	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	BLANK-06_210005.D	Blank		1	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				BLANK-06_210004	0						0	0	
2	B039753	7	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039754.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039753	0						0	0	
3	B039774	8	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039775.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039774	0						0	0	
4	B039770	10	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039771.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039770	0						0	0	
5	B039771	11	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039772.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039771	0						0	0	
6	B039750	12	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039751.D	Sample		0.018	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039750	0						0	0	
7	B039751	13	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039752.D	Sample		0.019	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039751	0						0	0	
8	B039752	14	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039753.D	Sample		0.021	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039752	0						0	0	
9	B039760	16	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039761.D	Sample		0.018	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039760	0						0	0	
10	B039764	17	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039765.D	Sample		0.023	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039764	0						0	0	
